"Section Number","Section Title","Main Rule","Sub-Rule","Rule Text"
"10","Credit, Grading, and Retention","10.7","","Grades for courses taken by a DLSU student cross-enrolled in another school will not be included in the computation of their GPA. These courses, together with the corresponding grades, will be reflected on the Transcript of Records as having been taken from another school."
"10","Credit, Grading, and Retention","10.8","","Credit and Grading for Transferees and Students Taking Second Degrees The guidelines for credit and grading for transferees and students taking second degrees are as follows:"
"10","Credit, Grading, and Retention","10.8","10.8.1","Courses taken in other schools by transferees may be credited, provided that the number of units to be credited does not exceed 20% of the total number of units required in the program at DLSU."
"10","Credit, Grading, and Retention","10.8","10.8.2","Only grades for courses taken at DLSU shall be included in the computation of the CGPA."
"10","Credit, Grading, and Retention","10.9","","Any and all grades obtained in academic courses are included in the computation of the term and cumulative GPA for as long as such grades have been obtained at the University, regardless of the program under which they were obtained."
"10","Credit, Grading, and Retention","10.10","","For subjects with lecture and laboratory courses, the following general policies apply:"
"10","Credit, Grading, and Retention","10.10","10.10.1","The laboratory course is a co-requisite of the corresponding lecture course, both should be taken during the same term;"
"10","Credit, Grading, and Retention","10.10","10.10.2","Separate grades are given for the lecture and laboratory courses unless specified otherwise by the department concerned;"
"10","Credit, Grading, and Retention","10.10","10.10.3","If a student drops the lecture course, they must also drop the laboratory course. However, a student may drop the laboratory course without dropping the lecture course unless specified otherwise by the department concerned;"
"10","Credit, Grading, and Retention","10.10","10.10.4","If the student fails in either the laboratory or lecture course, they should re-enroll only in the failed subject; and"
"10","Credit, Grading, and Retention","10.10","10.10.5","The student has to pass both the lecture and laboratory courses to proceed to the succeeding course(s) unless specified otherwise by the college concerned."
"10","Credit, Grading, and Retention","10.11","","Dropping from courses is covered by the following guidelines:"
"10","Credit, Grading, and Retention","10.11","10.11.1","A student may drop a course up to the fourth week of the term. However, a student is not allowed to drop NSTP without the approval of the College Associate Dean. Frosh students should enroll in the Student Affairs Services (SAS) 1000 course during their first year."
"10","Credit, Grading, and Retention","10.11","10.11.2","The University follows the CHED-approved policies on refunds for dropped courses. Specific guidelines are published via Help Desk Announcement every term."
"10","Credit, Grading, and Retention","10.11","10.11.3","A dropped course will not appear on the records of the student for the term during which it was dropped."
"10","Credit, Grading, and Retention","10.11","10.11.4","To be considered as full-time, a student must still be enrolled in courses with a total of at least twelve (12) academic units after dropping courses."
"10","Credit, Grading, and Retention","10.11","10.11.5","A revised EAF reflecting the change on the list of courses enrolled may be printed by the student."
"10","Credit, Grading, and Retention","10.11","10.11.6","Students taking modular degree programs may refer to the memorandum on dropping of modular courses found in Appendix R."
"10","Credit, Grading, and Retention","10.12","","Students who wish to petition for a change in a term grade should ask the faculty member(s) concerned to fill out the necessary forms and comply with the procedure for change of grade. Applications for change of grade should be given to the OUR within the deadline published on the academic calendar. After this deadline, no petition for change of grades shall be honored and the original one shall be retained unless the student has filed a grievance against the faculty concerning their grades."
"10","Credit, Grading, and Retention","10.13","","Students should ensure that the list of courses and sections indicated on their Student Enrollment Record and their student portal account is correct. They should also make sure to attend the correct courses and sections. Students who fail to drop are considered officially enrolled and are, therefore, covered by all the provisions applicable to enrolled students."
"10","Credit, Grading, and Retention","10.14","","Audit courses are applied for not later than week 2 of the term and are subject to availability of slots and approval of the Department Chair and College Associate Dean of the student. Auditing students are those who want to sit in classes without any intention of having these courses credited. Their purpose is to increase their knowledge of the subject matter or acquaint themselves with classroom procedures. As such, auditing students:"
"10","Credit, Grading, and Retention","10.14","10.14.1","May attend such classes only when they wish to;"
"10","Credit, Grading, and Retention","10.14","10.14.2","May refuse to take the examinations in such classes; and"
"10","Credit, Grading, and Retention","10.14","10.14.3","Cannot apply for course crediting. Enrollment forms and procedures for audit courses are available at the Office of the University Registrar. Special audit fees are payable at the Finance and Accounting Office."
"10","Credit, Grading, and Retention","10.15","","Audit courses are not included in the computation of total number of unit-load for the term for purposes of computing the GPA and determining qualification for the Dean's List and the University Honors List."
"10","Credit, Grading, and Retention","10.16","","Within the first week of classes, audit courses may be converted to credit courses and as such are included in the computation of the GPA upon the recommendation of the Department Chair, in consultation with the College Associate Dean and approval by the OUR, provided that the rules on maximum units enrolled are not violated."
"10","Credit, Grading, and Retention","10.17","","Eligibility to continue academic studies in a degree program is covered by the following guidelines:"
"10","Credit, Grading, and Retention","10.17","10.17.1","The following are ineligible to continue studies in the current degree program: For students with ID number 102 and above who are under the Liberal Arts, Science, Business, Economics, and Education single degree programs who have accumulated 24 units of failure; under the Computer Studies programs who have accumulated 27 units of failure; and under the LIA-COM, Engineering, COM-COM and Education double degree programs who have accumulated 30 units of failure in academic courses at the end of any trimester."
"10","Credit, Grading, and Retention","10.17","10.17.2","Students who are ineligible to continue in their current program may apply to shift to another program. They must comply with the rules on shifting as stipulated in section 2.5, and follow the schedule as posted by the Office of the University Registrar. Students should file for a leave of absence if they cannot continue in the current program but are unable to shift on time."
"10","Credit, Grading, and Retention","10.17","10.17.3","Any failure incurred is automatically added to previous accumulated units of failure. Only students who have not reached the maximum allowable accumulated failures may re-enroll any failed course. If a student receives a grade of 2.5 or higher in the re-enrolled failed course, the original failure will not be counted in the accumulation of the number of units failed. However, all failures will still be counted for purposes of GPA computation and will be reflected on the transcript of records."
"10","Credit, Grading, and Retention","10.17","10.17.4","Enrollment of students who have become ineligible will be invalidated automatically."
"10","Credit, Grading, and Retention","10.17","10.17.5","Students who have accumulated the maximum number of units of failure set per program but have less than or equal to 30% of academic units remaining in their curriculum will be allowed to continue their studies at the University."
"10","Credit, Grading, and Retention","10.17","10.17.6","Laguna Campus students with ID 112 and below who obtain a CGPA of less than 1.000 at any given term after their third term in the University are not allowed to re-enroll."
"10","Credit, Grading, and Retention","10.18","","Students who have exceeded the number of terms prescribed in their program flowchart will have to secure permission from their College Associate Dean to continue enrollment in the University."
"10","Credit, Grading, and Retention","10.19","","All students are required to attend the NSTP General Orientation (as mandated by the revised NSTP IRR of 2009) offered during the first year. Students are required to complete the two (2) NSTP courses based on their flowchart."
"10","Credit, Grading, and Retention","10.20","","Subject to the approval of the Department Chair, the College Associate Dean, a student may, upon request, be allowed to take special classes only under any of the conditions below. However, the University is not compelled to grant the request."
"10","Credit, Grading, and Retention","10.20","10.20.1","The student is graduating at the end of the term and the course to be taken as a special class is not offered for the term;"
"10","Credit, Grading, and Retention","10.20","10.20.2","The student is graduating at the end of the term and the schedules of the regular sections of the course to be taken as a special class conflict with other enrolled courses of the student;"
"10","Credit, Grading, and Retention","10.20","10.20.3","The course to be taken as a special class is indicated in the program flowchart as a regular offering for the term but is not offered;"
"10","Credit, Grading, and Retention","10.20","10.20.4","Other cases deemed meritorious by the Department Chair and the College Associate Dean."
"10","Credit, Grading, and Retention","10.21","","Subject to the approval of the Department Chair and the College Associate Dean, a student may, upon request, be allowed to take a course equivalent should the course not be offered for the term and a faculty member is not available to teach the course as a special class."
"11","Trimestral Honors","11.1","","The University Honors List and the Dean's Honors List recognize superior scholastic achievement. To qualify for the Dean's Honors List, students should:"
"11","Trimestral Honors","11.1","11.1.1","Be enrolled in courses with a total of at least 12 academic units in a term."
"11","Trimestral Honors","11.1","11.1.2","Not have a grade below 2.0 in any academic course;"
"11","Trimestral Honors","11.1","11.1.3","Not have a failure in any non-academic course;"
"11","Trimestral Honors","11.1","11.1.4","Not have been found guilty of cheating or academic dishonesty and/or discipline offenses involving behavior unbecoming of a Lasallian such as commission of the act as defined in Section 5.3.1.15 (Section on Student Discipline) of this Handbook within the term; and"
"11","Trimestral Honors","11.1","11.1.5","Have a GPA of at least 3.000 as indicated below: First Honors Term GPA is 3.400 or higher Second Honors Term GPA is between 3.000 to 3.399"
"11","Trimestral Honors","11.2","","To qualify for the University Honors List, students should:"
"11","Trimestral Honors","11.2","11.2.1","Have completed at least six trimesters of study in the University;"
"11","Trimestral Honors","11.2","11.2.2","Not ever have a grade below 2.0 in any academic course;"
"11","Trimestral Honors","11.2","11.2.3","Not ever have a failure in any non-academic course;"
"11","Trimestral Honors","11.2","11.2.4","Not ever have been found guilty of cheating or academic dishonesty and/or major discipline offenses involving behavior unbecoming of a Lasallian such as commission of the act as defined in Section 5.3.1.15 (Section on Student Discipline) of this Handbook within the term; and"
"11","Trimestral Honors","11.2","11.2.5","Have a cumulative GPA and term GPA of at least 3.400 at the end of the trimester."
"11","Trimestral Honors","11.3","","Students who qualify for the Dean's First and Second Honors Lists are entitled to receive a Jose Rizal Certificate from the Dean's Office. Those who qualify for the University Honors List shall receive a Jose Rizal Certificate from the Office of the Provost distributed through the Dean's Office. Only those who are on the Dean's First Honors List and/or the University Honors List for the entire academic year are recognized during the annual Academic Recognition Day held during the first term of the next academic year. Students who are included in the Dean's First Honors List for the first six (6) consecutive terms shall be automatically admitted as candidate-members for the Jose Rizal Honor Society and shall be recognized during the annual Academic Recognition Day."
"11","Trimestral Honors","11.4","","Students on the Dean's First and Second Honors List or the University Honors List in a particular trimester are entitled to unlimited absences in academic courses for the succeeding trimester. Students who will be enrolling only in a practicum course in the succeeding term may avail of the privilege upon their return to the University provided they pass the course."
"11","Trimestral Honors","11.5","","In case a student is enrolled in an academic course with a pass or fail grading system, the number of credit units of such a course will not be included in the total number of credit units in computing the trimestral GPA. Such number of units, however, shall be included in the computation of the total number of units for purposes of qualifying for trimestral honors."
"11","Trimestral Honors","11.6","","Any request for interpretation or clarification of rules about honors and academic awards should be forwarded to the Chair of the University Honors and Awards Council."
"11","Trimestral Honors","11.7","","Students on the Dean's Honors List and the University Honors List are given advance enrollment privileges."
"12","Graduation","12.1","","Students may not participate in any activity related to their Graduation, including the filing of an application to graduate (ATG), graduation rites, and/or release of academic documents or records unless all administrative procedures relating to graduation are completed and disciplinary sanctions, if any are served. For clarity, students shall not be allowed to graduate, process requirements for graduation, participate in their graduation rites, or secure their diploma, transfer credentials, or certificate of completion from the time the OULC's issues its recommendation for hearing of the complaint as a major discipline case and until the final resolution of the case, which includes the completion of the disciplinary sanction, if any."
"12","Graduation","12.2","","Students who are on their last term of enrollment may qualify to graduate at the end of the term. As such, they should apply to graduate following the procedure and the schedule posted by the Office of the University Registrar. Students need not be absolutely certain of passing their remaining courses, other requirements, or both."
"12","Graduation","12.3","","Upon graduation, undergraduate students who have remained on the Dean's First Honors List and/or the University Honors List for all terms of enrollment in the University shall be admitted to full membership in the Jose Rizal Society and receive a special Jose Rizal Honors Award. The reckoning of the Jose Rizal Honors shall be at the start of the student's enrollment in the University. The student should have graduated within the prescribed number of terms, excluding the terms on leave of absence or academic exchange without courses enrolled at the University."
"12","Graduation","12.4","","Undergraduate students maintaining the required academic standards will be recommended for graduation honors of summa cum laude, magna cum laude, cum laude, and honorable mention."
"12","Graduation","12.4","12.4.1","To graduate with honors, 80% (75% for students in the Human Biology program) of the total credits earned toward the degree must have been earned in residence at the University."
"12","Graduation","12.4","12.4.2","The following cumulative GPA requirements apply to students graduating with honors: Summa Cum Laude 3.800 Magna Cum Laude 3.600 Cum Laude 3.400 Honorable Mention 3.200"
"12","Graduation","12.4","12.4.4","Students with a failing grade for any academic or non-academic course, and/or found guilty of cheating or academic dishonesty and/or discipline offenses involving behavior unbecoming of a Lasallian such as commission of the act as defined on Section 5.3.1.15 (Section on Student Discipline) of this Handbook are disqualified from graduating with honors."
"12","Graduation","12.5","","Loyalty awards are given to students who have completed their schooling at the University, or at any school run by the De La Salle Brothers, from the first grade of their elementary studies. Students who officially stopped studying at the University or any school run by the De La Salle Brothers through the issuance of a Transfer Credential (Honorable Dismissal) are disqualified from receiving loyalty awards from the University."
"12","Graduation","12.6","","The University Honors and Awards Council may give special awards to deserving graduating students."
"12","Graduation","12.7","","Graduates of undergraduate degrees may also be awarded special honors for excellence in their major fields based on criteria determined by each academic department."
